,y,date,mm_y
0,676508,2012-02-29 00:00:00-06:00,02/2012
1,683436,2012-03-31 00:00:00-05:00,03/2012
2,701710,2012-04-30 00:00:00-05:00,04/2012
3,757372,2012-05-31 00:00:00-05:00,05/2012
4,791664,2012-06-30 00:00:00-05:00,06/2012
5,837452,2012-07-31 00:00:00-05:00,07/2012
6,819441,2012-08-31 00:00:00-05:00,08/2012
7,823589,2012-09-30 00:00:00-05:00,09/2012
8,850539,2012-10-31 00:00:00-05:00,10/2012
9,849533,2012-11-30 00:00:00-06:00,11/2012
10,879125,2012-12-31 00:00:00-06:00,12/2012
11,890332,2013-01-31 00:00:00-06:00,01/2013
12,886932,2013-02-28 00:00:00-06:00,02/2013
13,904392,2013-03-31 00:00:00-05:00,03/2013
14,896300,2013-04-30 00:00:00-05:00,04/2013
15,897165,2013-05-31 00:00:00-05:00,05/2013
16,912028,2013-06-30 00:00:00-05:00,06/2013
17,886645,2013-07-31 00:00:00-05:00,07/2013
18,875963,2013-08-31 00:00:00-05:00,08/2013
19,880199,2013-09-30 00:00:00-05:00,09/2013
20,874728,2013-10-31 00:00:00-05:00,10/2013
21,839856,2013-11-30 00:00:00-06:00,11/2013
22,849376,2013-12-31 00:00:00-06:00,12/2013
23,881952,2014-01-31 00:00:00-06:00,01/2014
24,908031,2014-02-28 00:00:00-06:00,02/2014
25,901704,2014-03-31 00:00:00-05:00,03/2014
26,909642,2014-04-30 00:00:00-05:00,04/2014
27,911499,2014-05-31 00:00:00-05:00,05/2014
28,913546,2014-06-30 00:00:00-05:00,06/2014
29,945354,2014-07-31 00:00:00-05:00,07/2014
30,1036243,2014-08-31 00:00:00-05:00,08/2014
31,1007003,2014-09-30 00:00:00-05:00,09/2014
32,1008483,2014-10-31 00:00:00-05:00,10/2014
33,1006598,2014-11-30 00:00:00-06:00,11/2014
34,997559,2014-12-31 00:00:00-06:00,12/2014
35,1017270,2015-01-31 00:00:00-06:00,01/2015
36,1012916,2015-02-28 00:00:00-06:00,02/2015
37,1063966,2015-03-31 00:00:00-05:00,03/2015
38,1059328,2015-04-30 00:00:00-05:00,04/2015
39,1126689,2015-05-31 00:00:00-05:00,05/2015
40,1086628,2015-06-30 00:00:00-05:00,06/2015
41,1120964,2015-07-31 00:00:00-05:00,07/2015
42,1064581,2015-08-31 00:00:00-05:00,08/2015
43,1087770,2015-09-30 00:00:00-05:00,09/2015
44,1076202,2015-10-31 00:00:00-05:00,10/2015
45,1083359,2015-11-30 00:00:00-06:00,11/2015
46,1101805,2015-12-31 00:00:00-06:00,12/2015
47,1109292,2016-01-31 00:00:00-06:00,01/2016
48,1125572,2016-02-29 00:00:00-06:00,02/2016
49,1143987,2016-03-31 00:00:00-05:00,03/2016
50,1169437,2016-04-30 00:00:00-05:00,04/2016
51,1113649,2016-05-31 00:00:00-05:00,05/2016
52,1096002,2016-06-30 00:00:00-05:00,06/2016
53,1073310,2016-07-31 00:00:00-05:00,07/2016
54,1100759,2016-08-31 00:00:00-05:00,08/2016
55,1094736,2016-09-30 00:00:00-05:00,09/2016
56,1103707,2016-10-31 00:00:00-05:00,10/2016
57,1112727,2016-11-30 00:00:00-06:00,11/2016
58,1108717,2016-12-31 00:00:00-06:00,12/2016
59,1168764,2017-01-31 00:00:00-06:00,01/2017
60,1195031,2017-02-28 00:00:00-06:00,02/2017
61,1198667,2017-03-31 00:00:00-05:00,03/2017
62,1190054,2017-04-30 00:00:00-05:00,04/2017
63,1220817,2017-05-31 00:00:00-05:00,05/2017
64,1233535,2017-06-30 00:00:00-05:00,06/2017
65,1294353,2017-07-31 00:00:00-05:00,07/2017
66,1359660,2017-08-31 00:00:00-05:00,08/2017
67,1375078,2017-09-30 00:00:00-05:00,09/2017
68,1449189,2017-10-31 00:00:00-05:00,10/2017
69,1440918,2017-11-30 00:00:00-06:00,11/2017
70,1517593,2017-12-31 00:00:00-06:00,12/2017
71,1730707,2018-01-31 00:00:00-06:00,01/2018
72,1845535,2018-02-28 00:00:00-06:00,02/2018
73,1882847,2018-03-31 00:00:00-05:00,03/2018
74,1888539,2018-04-30 00:00:00-05:00,04/2018
75,1942689,2018-05-31 00:00:00-05:00,05/2018
76,1965366,2018-06-30 00:00:00-05:00,06/2018
77,1964126,2018-07-31 00:00:00-05:00,07/2018
78,1901249,2018-08-31 00:00:00-05:00,08/2018
79,1870758,2018-09-30 00:00:00-05:00,09/2018
80,1878404,2018-10-31 00:00:00-05:00,10/2018
81,1850986,2018-11-30 00:00:00-06:00,11/2018
82,1793949,2018-12-31 00:00:00-06:00,12/2018
83,1766291,2019-01-31 00:00:00-06:00,01/2019
84,1757683,2019-02-28 00:00:00-06:00,02/2019
